SatelliteName,NoradID,CW beacn,Uplink,Downlink,Remark,Folder name (len<8)
NepaliSat,44331,437375000,435313000,437375000,BIRDS-3 Nepal,NEPALI
Raavana1,44329,437375000,435313000,437375000,BIRDS-3 Sri Lanka,RAAVANA
Uguisu,44330,437375000,435313000,437375000,BIRDS-3 Japan,UGUISU
RS-44,44909,435605000,435605000,435605000,Amsat,RS44
EXOCUBE,40380,437270000,437270000,437270000,Amsat,EXOCUBE
CUTE-1,27844,436836500,436836500,436836500,TEST,CUTE1
BIRDS-4 (JAXA),99999,437375000,435313000,437375000,BIRDS-4 (initial operation),BIRDS4
Tsuru (satNOGS),99772,437375000,435313000,437375000,sat NOGS,BIRDS4
Guaranisat-1(satNOGS),99774,437375000,435313000,437375000,sat NOGS,BIRDS4
TAUSAT1?(Norad),85421,437375000,435313000,437375000,Norad,BIRDS4
1st/1nd dep? (Norad85418),85418,437375000,435313000,437375000,Norad,BIRDS4
1st/1nd dep? (Norad85419),85419,437375000,435313000,437375000,Norad,BIRDS4
1st/1nd dep? (Norad85420),85420,437375000,435313000,437375000,Norad,BIRDS4
1st/1nd dep? (Norad85421),85422,437375000,435313000,437375000,Norad,BIRDS4
1st/1nd dep? (Norad85422),85423,437375000,435313000,437375000,Norad,BIRDS4
1st/1nd dep? (Norad85424),85424,437375000,435313000,437375000,Norad,BIRDS4
Norad(47924) WARP-01,47924,437425000,437425000,437425000,Norad,NULL
Norad(47925) RSP-01,47925,145810000,145810000,145810000,Norad,NULL
Norad(47926) TAUSAT-1,47926,436400000,436400000,436400000,Norad,NULL
TSURU,47927,437376500,435313000,437375000,Norad,Tsuru
Norad(47928) STARS-EC,47928,437245000,437245000,437255000,Norad,NULL
MAYA-2,47929,437375000,435313000,437375000,Norad,Maya2
Norad(47930) Hirogari,47930,145900000,145900000,145900000,Norad,NULL
GUARANISAT-1,47931,437375000,435313000,437375000,Norad,GuaraniSat1
HORYU-IV,41340,437375000,145000000,437375000,HORYU4,HORYU4
MIRSAT-1,48868,436925000,145987500,436925000,MIRSAT-1,MIRSAT-1
KOSEN-1,99991,435525000,435525000,435525000,KOSEN-1,
ISS (BIRDS-5),25544,437375000,435313000,437375000,ISS repeater,ISS repeater(BIRDS-5
MAYA-3,49273,437377000,437375000,437375000,Deployed at 10/6 CW freq. updated at 6/23,Maya3
MAYA-4,49274,437377000,437375000,437375000,Deployed at 10/6 CW freq. updated at 6/23,Maya4
DIWATA-2,43678,437500000,437500000,437500000,PH,DIWATA-2
ISS (KITSUNE init op. using JAXA  orbital element),90000,437375000,435313000,437375000,KITSUNE,KITSUNE
KITSUNE (SatNOGS),99415,437375000,435313000,437375000,KITSUNE,KITSUNE
KITSUNE,52148,437377000,435310000,437376000,KITSUNE,KITSUNE
ISS (BIRDS-5),25544,437375000,435313000,437375000,BIRDS-5,BIRDS-5
FUTABA,53463,437375000,437375000,437375000,FUTABA (ID: 53463),FUTABA
TAKA,,437375000,435313000,437375000,BIRDS-5,
ZIMSAT-1,,437375000,435313000,437375000,BIRDS-5,
PearlAfricaSat-1,,437375000,435313000,437375000,BIRDS-5,
